8.726124200000012,47.49877859999999,Winterthur,8400,Neumarkt,13
7.631396900000024,46.75871649999992,Thun,3600,Schlossberg,
7.4495378999999895,46.94546270000009,Bern,3005,Dalmaziquai,11
8.493232800000008,47.17746670000003,Zug,6300,Chamer Fussweg,36
7.447348800000002,46.948983700000035,Bern,3011,Kornhausplatz,18
7.443310100000002,46.951170800000035,Bern,3011,Hodlerstrasse,8-12
7.389333400000003,46.885022800000044,Köniz,3145,Zur Station,
7.464330500000005,46.95864960000003,Bern,3014,Guisanplatz,4
7.432658600000005,46.95376700000003,Bern,3012,Mittelstrasse,6
9.003169600000005,47.52457250000006,Lommis,9506,Flugplatz,
7.434485600000047,46.95129319999998,Bern,3012,Erlachstrasse,3
7.432717800000047,46.954519999999974,Bern,3012,Seidenweg,9b
7.430758200000047,46.953990599999976,Bern,3012,Lerchenweg,35
7.425665400000047,46.955597399999974,Bern,3012,Schwalbenweg,2
6.126275400000003,46.23169490000012,Le Grand-Saconnex,1218,L'Ancienne-Route,17A
7.457860500000007,46.958919499999894,Bern,3014,Militärstrasse,38
8.535415300000006,47.375729500000055,Zürich,8001,Gessnerallee,14
7.389311200000007,46.94735799999999,Bern,3027,Fellerstrasse,28
7.450525500000046,46.94364090000001,Bern,3005,Thunstrasse,5
7.450405900000046,46.943221000000015,Bern,3005,Thunstrasse,2
8.695437000000044,47.38901340000003,Volketswil,8604,Pfäffikerstrasse,4
8.576365400000022,47.21697300000024,Sihlbrugg,6340,Zugerstrasse,2
8.493329800000021,47.43112820000011,Zürich,8046,Katzenseestrasse,
8.530342900000011,47.33890280000002,Zürich,8038,Studackerstrasse,1
8.53227030000001,47.33609180000001,Zürich,8038,Widmerstrasse,64
8.438598599999986,47.40806139999995,Kloster Fahr,8109,Kloster Fahr,1
8.847617500000036,47.66538909999982,Stein am Rhein,8260,Hemishoferstrasse,87
8.730877000000014,47.49980820000001,Winterthur,8400,Marktgasse,1
7.591355099999993,47.569203300000055,Basel,4057,Amerbachstrasse,14
7.588601699999994,47.56733980000005,Basel,4057,Breisacherstrasse,73
7.590683399999993,47.56777880000005,Basel,4057,Oetlingerstrasse,63
8.642818300000032,47.37482339999989,Fällanden,8117,Schwerzenbachstrasse,41
8.732159900000017,47.497936199999884,Winterthur,8400,Technikumstrasse,2
8.546145899999999,47.368394799999884,Zürich,8001,Rämistrasse,15
7.364938000000002,47.00947289999996,Meikirch,3045,Bernstrasse,7
7.764910900000031,47.126164899999715,Ursenbach,4942,Berg,97a
8.54107520000001,47.374050600000125,Zürich,8001,Uraniastrasse,3
8.474012599999972,47.393382200000204,Zürich,8048,Badenerstrasse,816
7.440312400000083,46.94589469999989,Bern,3011,Bundesgasse,
8.641259400000004,47.1164861000001,Oberägeri/Morgarten,6315,Hauptseestrasse,63
8.538034,47.37291779999997,Zürich,8001,Bahnhofstrasse,57
7.602000800000023,47.55480539999988,Basel,4052,St. Alban-Rheinweg,70
7.593223600000023,47.55930649999989,Basel,4058,Rheingasse,45
7.443059799999989,46.94516460000008,Bern,3005,Münzrain,20
8.511279000000027,47.376510099999955,Zürich,8003,Zurlindenstrasse,275
8.520866000000023,47.37193669999999,Zürich,8003,Erikastrasse,8
8.539926000000042,47.370340000000134,Zürich,8001,Bahnhofstrasse,28a
7.4744386999999435,46.94903309999972,Bern,3006,Monument im Fruchtland,3
7.469250099999973,46.9588991,Bern,3014,Mingerstrasse,18
8.494994099999953,47.37603410000015,Zürich,8047,Ginsterstrasse,1
8.379717099999993,47.507453500000025,Niederweningen,8166,Alte Stationsstrasse,2
8.379953299999993,47.50766580000003,Niederweningen,8166,Alte Poststrasse,1
9.343263099999998,47.58604429999992,Uttwil,8592,Seehofstrasse,11
7.431115800000001,46.951937599999916,Bern,3012,Bühlplatz,1a
7.430284800000001,46.95137779999992,Bern,3012,Bühlstrasse,37
7.429667900000001,46.949197899999916,Bern,3012,Niesenweg,2
7.432203400000001,46.94884779999992,Bern,3012,Wildhainweg,4
7.4340989,46.948973999999914,Bern,3012,Stadtbachstrasse,10
8.534362899999955,47.37827469999999,Zürich,8004,Europaallee,11
8.724230299999977,47.49907239999987,Winterthur,8400,Untertor,39
8.724188799999977,47.49923899999987,Winterthur,8400,Untertor,34
8.731243999999977,47.50002949999987,Winterthur,8400,Oberer Graben,48
8.730433499999977,47.498237399999866,Winterthur,8400,Obergasse,2a
8.730639099999976,47.499779899999865,Winterthur,8400,Marktgasse,3
8.727407899999976,47.49941859999986,Winterthur,8400,Marktgasse,49
8.729203199999976,47.498425599999855,Winterthur,8400,Steinberggasse,16
7.3148142000000025,47.07337639999998,Lyss,3250,Jungfrauweg,2
8.861346800000014,47.65913320000008,Stein am Rhein,8260,Oehningerstrasse,2
8.727721199999998,47.49862610000001,Winterthur,8400,Metzggasse,9
8.727244799999998,47.49787020000001,Winterthur,8400,Steinberggasse,59
8.725947999999997,47.50152600000001,Winterthur,8400,Merkurstrasse,25
8.859653999999985,47.65946239999966,Stein am Rhein,8260,Rathausplatz,2
7.450390900000005,46.94192390000002,Bern,3005,Helvetiastrasse,16
7.45171849999999,46.95491300000025,Bern,3013,Viktoriaplatz,1
8.64100169999999,47.352213600000255,Ebmatingen,8124,Stuhlenstrasse,5
8.18413479999999,47.350766599999986,Egliswil,5704,Hasenbergstrasse,1
8.18406189999999,47.350734899999985,Egliswil,5704,Hasenbergstrasse,3
8.553816699999972,47.36111689999999,Zürich,8008,Feldeggstrasse,65
7.5107686999999785,47.03003529999987,Mattstetten,3322,Urtenenstrasse,2
